level,expForThisLevel,cumulativeExp
1,0,0
2,100,100
3,340,440
4,640,1080
5,1000,2080
6,1420,3500
7,1900,5400
8,2440,7840
9,3040,10880
10,3700,14580
11,4420,19000
12,5200,24200
13,6040,30240
14,6940,37180
15,7900,45080
16,8920,54000
17,10000,64000
18,11140,75140
19,12340,87480
20,13600,101080
21,14920,116000
22,16300,132300
23,17740,150040
24,19240,169280
25,20800,190080
26,22420,212500
27,24100,236600
28,25840,262440
29,27640,290080
30,29500,319580
31,31420,351000
32,33400,384400
33,35440,419840
34,37540,457380
35,39700,497080
36,41920,539000
37,44200,583200
38,46540,629740
39,48940,678680
40,51400,730080
41,53920,784000
42,56500,840500
43,59140,899640
44,61840,961480
45,64600,1026080
46,67420,1093500
47,70300,1163800
48,73240,1237040
49,76240,1313280
50,79300,1392580
51,82420,1475000
52,85600,1560600
53,88840,1649440
54,92140,1741580
55,95500,1837080
56,98920,1936000
57,102400,2038400
58,105940,2144340
59,109540,2253880
60,113200,2367080
61,116920,2484000
62,120700,2604700
63,124540,2729240
64,128440,2857680
65,132400,2990080
66,136420,3126500
67,140500,3267000
68,144640,3411640
69,148840,3560480
70,153100,3713580
71,157420,3871000
72,161800,4032800
73,166240,4199040
74,170740,4369780
75,175300,4545080
76,179920,4725000
77,184600,4909600
78,189340,5098940
79,194140,5293080
80,199000,5492080
81,203920,5696000
82,208900,5904900
83,213940,6118840
84,219040,6337880
85,224200,6562080
86,229420,6791500
87,234700,7026200
88,240040,7266240
89,245440,7511680
90,250900,7762580
91,256420,8019000
92,262000,8281000
93,267640,8548640
94,273340,8821980
95,279100,9101080
96,284920,9386000
97,290800,9676800
98,296740,9973540
99,302740,10276280
100,308800,10585080
101,314920,10900000
102,321100,11221100
103,327340,11548440
104,333640,11882080
105,340000,12222080
106,346420,12568500
107,352900,12921400
108,359440,13280840
109,366040,13646880
110,372700,14019580
111,379420,14399000
112,386200,14785200
113,393040,15178240
114,399940,15578180
115,406900,15985080
116,413920,16399000
117,421000,16820000
118,428140,17248140
119,435340,17683480
120,442600,18126080
121,449920,18576000
122,457300,19033300
123,464740,19498040
124,472240,19970280
125,479800,20450080
126,487420,20937500
127,495100,21432600
128,502840,21935440
129,510640,22446080
130,518500,22964580
131,526420,23491000
132,534400,24025400
133,542440,24567840
134,550540,25118380
135,558700,25677080
136,566920,26244000
137,575200,26819200
138,583540,27402740
139,591940,27994680
140,600400,28595080
141,608920,29204000
142,617500,29821500
143,626140,30447640
144,634840,31082480
145,643600,31726080
146,652420,32378500
147,661300,33039800
148,670240,33710040
149,679240,34389280
150,688300,35077580
151,697420,35775000
152,706600,36481600
153,715840,37197440
154,725140,37922580
155,734500,38657080
156,743920,39401000
157,753400,40154400
158,762940,40917340
159,772540,41689880
160,782200,42472080
161,791920,43264000
162,801700,44065700
163,811540,44877240
164,821440,45698680
165,831400,46530080
166,841420,47371500
167,851500,48223000
168,861640,49084640
169,871840,49956480
170,882100,50838580
171,892420,51731000
172,902800,52633800
173,913240,53547040
174,923740,54470780
175,934300,55405080
176,944920,56350000
177,955600,57305600
178,966340,58271940
179,977140,59249080
180,988000,60237080
181,998920,61236000
182,1009900,62245900
183,1020940,63266840
184,1032040,64298880
185,1043200,65342080
186,1054420,66396500
187,1065700,67462200
188,1077040,68539240
189,1088440,69627680
190,1099900,70727580
191,1111420,71839000
192,1123000,72962000
193,1134640,74096640
194,1146340,75242980
195,1158100,76401080
196,1169920,77571000
197,1181800,78752800
198,1193740,79946540
199,1205740,81152280
200,1217800,82370080
201,1229920,83600000
202,1242100,84842100
203,1254340,86096440
204,1266640,87363080
205,1279000,88642080
206,1291420,89933500
207,1303900,91237400
208,1316440,92553840
209,1329040,93882880
210,1341700,95224580
211,1354420,96579000
212,1367200,97946200
213,1380040,99326240
214,1392940,100719180
215,1405900,102125080
216,1418920,103544000
217,1432000,104976000
218,1445140,106421140
219,1458340,107879480
220,1471600,109351080
221,1484920,110836000
222,1498300,112334300
223,1511740,113846040
224,1525240,115371280
225,1538800,116910080
226,1552420,118462500
227,1566100,120028600
228,1579840,121608440
229,1593640,123202080
230,1607500,124809580
231,1621420,126431000
232,1635400,128066400
233,1649440,129715840
234,1663540,131379380
235,1677700,133057080
236,1691920,134749000
237,1706200,136455200
238,1720540,138175740
239,1734940,139910680
240,1749400,141660080
241,1763920,143424000
242,1778500,145202500
243,1793140,146995640
244,1807840,148803480
245,1822600,150626080
246,1837420,152463500
247,1852300,154315800
248,1867240,156183040
249,1882240,158065280
250,1897300,159962580
251,1912420,161875000
252,1927600,163802600
253,1942840,165745440
254,1958140,167703580
255,1973500,169677080
256,1988920,171666000
257,2014400,173680400
258,2053940,175734340
259,2099540,177833880
260,2151200,179985080
261,2208920,182194000
262,2272700,184466700
263,2342540,186809240
264,2418440,189227680
265,2500400,191728080
266,2588420,194316500
267,2682500,196999000
268,2782640,199781640
269,2888840,202670480
270,3001100,205671580
271,3119420,208791000
272,3243800,212034800
273,3374240,215409040
274,3510740,218919780
275,3653300,222573080
276,3801920,226375000
277,3956600,230331600
278,4117340,234448940
279,4284140,238733080
280,4457000,243190080
281,4635920,247826000
282,4820900,252646900
283,5011940,257658840
284,5209040,262867880
285,5412200,268280080
286,5621420,273901500
287,5836700,279738200
288,6058040,285796240
289,6285440,292081680
290,6518900,298600580
291,6758420,305359000
292,7004000,312363000
293,7255640,319618640
294,7513340,327131980
295,7777100,334909080
296,8046920,342956000
297,8322800,351278800
298,8604740,359883540
299,8892740,368776280
300,9186800,377963080
301,9486920,387450000
302,9793100,397243100
303,10105340,407348440
304,10423640,417772080
305,10748000,428520080
306,11078420,439598500
307,11414900,451013400
308,11757440,462770840
309,12106040,474876880
310,12460700,487337580
311,12821420,500159000
312,13188200,513347200
313,13561040,526908240
314,13939940,540848180
315,14324900,555173080
316,14715920,569889000
317,15113000,585002000
318,15516140,600518140
319,15925340,616443480
320,16340600,632784080
321,16761920,649546000
322,17189300,666735300
323,17622740,684358040
324,18062240,702420280
325,18507800,720928080
326,18959420,739887500
327,19417100,759304600
328,19880840,779185440
329,20350640,799536080
330,20826500,820362580
331,21308420,841671000
332,21796400,863467400
333,22290440,885757840
334,22790540,908548380
335,23296700,931845080
336,23808920,955654000
337,24327200,979981200
338,24851540,1004832740
339,25381940,1030214680
340,25918400,1056133080
341,26460920,1082594000
342,27009500,1109603500
343,27564140,1137167640
344,28124840,1165292480
345,28691600,1193984080
346,29264420,1223248500
347,29843300,1253091800
348,30428240,1283520040
349,31019240,1314539280
350,31616300,1346155580
351,32219420,1378375000
352,32828600,1411203600
353,33443840,1444647440
354,34065140,1478712580
355,34692500,1513405080
356,35325920,1548731000
357,35965400,1584696400
358,36610940,1621307340
359,37262540,1658569880
360,37920200,1696490080
361,38583920,1735074000
362,39253700,1774327700
363,39929540,1814257240
364,40611440,1854868680
365,41299400,1896168080
366,41993420,1938161500
367,42693500,1980855000
368,43399640,2024254640
369,44111840,2068366480
370,44830100,2113196580
371,45554420,2158751000
372,46284800,2205035800
373,47021240,2252057040
374,47763740,2299820780
375,48512300,2348333080
376,49266920,2397600000
377,50027600,2447627600
378,50794340,2498421940
379,51567140,2549989080
380,52346000,2602335080
381,53130920,2655466000
382,53921900,2709387900
383,54718940,2764106840
384,55522040,2819628880
385,56331200,2875960080
386,57146420,2933106500
387,57967700,2991074200
388,58795040,3049869240
389,59628440,3109497680
390,60467900,3169965580
391,61313420,3231279000
392,62165000,3293444000
393,63022640,3356466640
394,63886340,3420352980
395,64756100,3485109080
396,65631920,3550741000
397,66513800,3617254800
398,67401740,3684656540
399,68295740,3752952280
400,69195800,3822148080
