RateProfile,ResetIndex,StartLevel,TargetLevel,CycleHours,CumHours,CycleExp,GrossZen,TierResetFeeZen,ChaosRequired,CreationRequired,NetZen,ZenBalance,CumJewelsDropped,CostToEarnRatioPercent
Gold_Preset_Dynamic,1,10,50,0.07,0.07,1378000,482425,100000,0,0,325310,325310,0.0,32.57
Gold_Preset_Dynamic,2,10,60,0.09,0.16,2352500,823547,200000,0,0,545131,870441,0.1,33.81
Gold_Preset_Dynamic,3,10,70,0.11,0.27,3699000,1294860,300000,0,0,898224,1768665,0.2,30.63
Gold_Preset_Dynamic,4,10,80,0.14,0.41,5477500,1917382,400000,0,0,1398088,3166753,0.2,27.08
Gold_Preset_Dynamic,5,10,90,0.17,0.59,7748000,2712119,500000,0,0,2063899,5230652,0.4,23.90
Gold_Preset_Dynamic,6,10,100,0.22,0.80,10570500,3700072,2000000,0,0,1515894,6746546,0.5,59.03
Gold_Preset_Dynamic,7,10,110,0.27,1.07,14005000,4902233,4000000,0,0,675904,7422450,0.6,86.21
Gold_Preset_Dynamic,8,10,120,0.33,1.40,18111500,6339612,6000000,0,0,63077,7485527,0.8,99.01
Gold_Preset_Dynamic,9,10,130,0.39,1.79,22950000,8033210,8000000,0,0,-302479,7183048,1.0,103.77
Gold_Preset_Dynamic,10,10,140,0.48,2.27,28580500,10004028,10000000,0,0,-400499,6782549,1.3,104.00
Gold_Preset_Dynamic,11,10,150,0.57,2.84,35063000,12273070,12000000,0,0,-210711,6571838,1.6,101.72
Gold_Preset_Dynamic,12,10,160,0.65,3.49,42457500,14861284,14000000,0,0,306518,6878356,2.0,97.94
Gold_Preset_Dynamic,13,10,170,0.74,4.23,50824000,17789712,16000000,0,0,1156917,8035273,2.4,93.50
Gold_Preset_Dynamic,14,10,180,0.85,5.08,60222500,21079358,18000000,0,0,2358910,10394183,2.8,88.81
Gold_Preset_Dynamic,15,10,190,0.96,6.04,70713000,24751226,20000000,0,0,3932940,14327123,3.3,84.11
Gold_Preset_Dynamic,16,10,200,1.09,7.13,82355500,28826315,23000000,1,0,4899448,19226571,3.9,83.00
Gold_Preset_Dynamic,17,10,210,1.28,8.42,95210000,33325697,26000000,1,0,6233460,25460031,4.5,81.30
Gold_Preset_Dynamic,18,10,220,1.51,9.92,109336500,38270317,29000000,1,0,7991058,33451089,5.3,79.12
Gold_Preset_Dynamic,19,10,230,1.75,11.67,124795000,43681170,32000000,1,0,10197254,43648343,6.2,76.66
Gold_Preset_Dynamic,20,10,240,2.01,13.68,141645500,49579258,35000000,1,0,12872257,56520600,7.1,74.04
Gold_Preset_Dynamic,21,10,250,2.29,15.97,159948000,55985582,38000000,1,0,16036272,72556872,8.3,71.36
Gold_Preset_Dynamic,22,10,260,2.61,18.58,179970500,62993948,41000000,1,0,19779558,92336430,9.5,68.60
Gold_Preset_Dynamic,23,10,270,2.94,21.52,205657000,71984699,44000000,1,0,25485860,117822290,10.9,64.60
Gold_Preset_Dynamic,24,10,280,3.42,24.94,243175500,85116849,47000000,1,0,35210177,153032467,12.5,58.63
Gold_Preset_Dynamic,25,10,290,4.13,29.06,298586000,104511528,50000000,1,0,51002534,204035001,14.4,51.20
Gold_Preset_Dynamic,26,10,300,5.14,34.21,377948500,132289840,115000000,1,1,12918162,216953163,16.7,90.23
Gold_Preset_Dynamic,27,10,310,7.66,41.87,487323000,170574486,130000000,1,1,34063816,251016979,20.0,80.03
Gold_Preset_Dynamic,28,10,320,11.15,53.01,632769500,221485711,145000000,1,1,67010611,318027590,24.7,69.74
Gold_Preset_Dynamic,29,10,330,14.96,67.97,820348000,287142931,160000000,1,1,114426491,432454081,30.8,60.15
Gold_Preset_Dynamic,30,10,340,19.67,87.64,1056118500,369668369,175000000,1,1,177949594,610403675,38.5,51.86
Gold_Preset_Dynamic,31,10,350,25.46,113.10,1346141000,471183334,190000000,1,1,259541266,869944941,48.3,44.92
Gold_Preset_Dynamic,32,10,360,36.27,149.37,1696475500,593813645,205000000,1,1,357984346,1227929287,61.8,39.71
Gold_Preset_Dynamic,33,10,370,48.58,197.96,2113182000,739673828,220000000,1,1,478378118,1706307405,79.0,35.33
Gold_Preset_Dynamic,34,10,380,62.92,260.87,2602320500,910887046,235000000,1,1,622407666,2328715071,100.5,31.67
Gold_Preset_Dynamic,35,10,390,79.55,340.43,3169951000,1109574832,250000000,1,1,791956670,3120671741,126.8,28.63
Gold_Preset_Dynamic,36,10,400,98.66,439.09,3822133500,1337858368,265000000,1,1,988995367,4109667108,158.8,26.08
