ResetCount,TargetLevel,CycleHours,CumulativeHours,GrossZen,RoutineCosts,ResetFeeZen,ChaosRequired,CreationRequired,NetZen,ZenBalance,DiscardedZen,ResetPaid,CostRatioPercent,CumulativeJewels
1,50,0.04,0.04,482374,37281,100000,0,0,345093,345093,0,True,28.46,0.03
2,60,0.06,0.10,823469,48238,200000,0,0,575231,920324,0,True,30.15,0.06
3,70,0.07,0.18,1294775,63531,300000,0,0,931244,1851568,0,True,28.08,0.10
4,80,0.09,0.27,1917275,77422,400000,0,0,1439853,3291421,0,True,24.90,0.16
5,90,0.11,0.38,2711985,96144,500000,0,0,2115841,5407262,0,True,21.98,0.22
6,100,0.14,0.52,3699912,122016,2000000,0,0,1577896,6985158,0,True,57.35,0.30
7,110,0.21,0.73,4902102,177670,4000000,0,0,724432,7709590,0,True,85.22,0.41
8,120,0.30,1.03,6339535,252799,6000000,0,0,86736,7796326,0,True,98.63,0.57
9,130,0.41,1.44,8033211,348504,8000000,0,0,-315293,7481033,0,True,103.92,0.79
10,140,0.55,1.99,10004140,468143,10000000,0,0,-464003,7017030,0,True,104.64,1.09
11,150,0.66,2.65,12273193,558779,12000000,0,0,-285586,6731444,0,True,102.33,1.43
12,160,0.79,3.43,14861484,668026,14000000,0,0,193458,6924902,0,True,98.70,1.84
13,170,0.94,4.37,17789997,797973,16000000,0,0,992024,7916926,0,True,94.42,2.32
14,180,1.03,5.40,21079577,874344,18000000,0,0,2205233,10122159,0,True,89.54,2.83
15,190,1.13,6.53,24751375,963057,20000000,0,0,3788318,13910477,0,True,84.69,3.38
16,200,1.25,7.79,28826393,1065243,23000000,1,0,4761150,18671627,0,True,83.48,3.97
17,210,1.52,9.30,33325784,1287878,26000000,1,0,6037906,24709533,0,True,81.88,4.65
18,220,1.83,11.13,38270436,1553154,29000000,1,0,7717282,32426815,0,True,79.83,5.44
19,230,2.18,13.31,43681336,1852490,32000000,1,0,9828846,42255661,0,True,77.50,6.35
20,240,2.51,15.82,49579478,2134972,35000000,1,0,12444506,54700167,0,True,74.90,7.40
21,250,2.88,18.70,55985875,2450281,38000000,1,0,15535594,70235761,0,True,72.25,8.59
22,260,3.30,22.00,62994337,2804276,41000000,1,0,19190061,89425822,0,True,69.54,9.96
23,270,3.85,25.85,71985385,3269861,44000000,1,0,24715524,114141346,0,True,65.67,11.55
24,280,4.67,30.52,85118018,3965952,47000000,1,0,34152066,148293412,0,True,59.88,13.47
25,290,5.78,36.29,104512725,4911942,50000000,1,0,49600783,197894195,0,True,52.54,15.69
26,300,7.41,43.70,132291108,6295093,115000000,1,1,10996015,208890210,0,True,91.69,18.34
27,310,11.52,55.22,170576009,9794048,130000000,1,1,30781961,239672171,0,True,81.95,22.09
28,320,17.33,72.56,221487688,14733319,145000000,1,1,61754369,301426540,0,True,72.12,27.38
29,330,24.96,97.52,287147262,21218875,160000000,1,1,105928387,407354927,0,True,63.11,34.70
30,340,34.72,132.24,369676015,29512147,175000000,1,1,165163868,572518795,0,True,55.32,44.62
31,350,46.92,179.16,471195243,39883356,190000000,1,1,241311887,813830682,0,True,48.79,57.78
32,360,70.06,249.22,593833854,59550461,205000000,1,1,329283393,1143114075,0,True,44.55,77.10
33,370,98.99,348.21,739708060,84143602,220000000,1,1,435564458,1578678533,0,True,41.12,104.11
34,380,133.45,481.67,910938614,113435991,235000000,1,1,562502623,1230242542,910938614,True,38.25,140.29
35,390,174.01,655.68,1109647041,147909540,250000000,1,1,711737501,832333002,2020585655,True,35.86,187.26
36,400,221.24,876.92,1337954884,188057080,265000000,1,1,884897804,379275922,3358540539,True,33.86,246.79
