ResetIndex,TargetLevel,KillsInCycle,JewelsDrop_0_1Pct,JewelsDrop_0_5Pct,JewelsDrop_1_0Pct,JewelsDrop_2_0Pct,GearUpgradeJewelDemand,ResetFeeJewelDemand,NetJewelBalance_0_1Pct,NetJewelBalance_1_0Pct
1,50,7,0.01,0.03,0.05,0.10,0.5,0.0,-0.49,-0.45
2,60,10,0.01,0.06,0.12,0.24,1.0,0.0,-0.99,-0.88
3,70,12,0.02,0.10,0.21,0.42,1.5,0.0,-1.48,-1.29
4,80,15,0.03,0.16,0.31,0.62,2.0,0.0,-1.97,-1.69
5,90,18,0.04,0.22,0.44,0.88,2.5,0.0,-2.46,-2.06
6,100,23,0.06,0.30,0.60,1.19,3.0,0.0,-2.94,-2.40
7,110,27,0.08,0.39,0.79,1.57,3.5,0.0,-3.42,-2.71
8,120,32,0.10,0.51,1.01,2.03,4.0,0.0,-3.90,-2.99
9,130,39,0.13,0.64,1.28,2.57,4.5,0.0,-4.37,-3.22
10,140,46,0.16,0.80,1.60,3.21,5.0,0.0,-4.84,-3.40
11,150,54,0.20,0.99,1.98,3.97,5.5,0.0,-5.30,-3.52
12,160,61,0.24,1.21,2.41,4.83,6.0,0.0,-5.76,-3.59
13,170,69,0.29,1.45,2.90,5.80,6.5,0.0,-6.21,-3.60
14,180,78,0.34,1.72,3.44,6.88,7.0,0.0,-6.66,-3.56
15,190,87,0.41,2.03,4.05,8.11,8.5,0.0,-8.09,-4.45
16,200,98,0.47,2.37,4.74,9.48,10.0,1.0,-10.53,-6.26
17,210,117,0.56,2.78,5.56,11.12,11.5,2.0,-12.94,-7.94
18,220,138,0.65,3.26,6.53,13.05,13.0,3.0,-15.35,-9.47
19,230,162,0.77,3.83,7.66,15.32,14.5,4.0,-17.73,-10.84
20,240,187,0.90,4.49,8.97,17.94,16.0,5.0,-20.10,-12.03
21,250,215,1.05,5.24,10.48,20.96,17.5,6.0,-22.45,-13.02
22,260,246,1.22,6.10,12.20,24.40,19.0,7.0,-24.78,-13.80
23,270,275,1.41,7.06,14.12,28.25,20.5,8.0,-27.09,-14.38
24,280,317,1.63,8.17,16.34,32.68,22.0,9.0,-29.37,-14.66
25,290,379,1.90,9.50,18.99,37.98,23.5,10.0,-31.60,-14.51
26,300,467,2.23,11.13,22.26,44.52,26.5,12.0,-36.27,-16.24
27,310,700,2.72,13.58,27.16,54.31,29.5,14.0,-40.78,-16.34
28,320,1023,3.43,17.16,34.32,68.64,32.5,16.0,-45.07,-14.18
29,330,1333,4.37,21.83,43.65,87.31,35.5,18.0,-49.13,-9.85
30,340,1710,5.56,27.81,55.63,111.25,38.5,20.0,-52.94,-2.87
31,350,2174,7.08,35.42,70.84,141.68,41.5,22.0,-56.42,7.34
32,360,2951,9.15,45.75,91.50,183.00,44.5,24.0,-59.35,23.00
33,370,3704,11.74,58.71,117.43,234.85,47.5,26.0,-61.76,43.93
34,380,4564,14.94,74.69,149.37,298.75,50.5,28.0,-63.56,70.87
35,390,5562,18.83,94.15,188.31,376.62,53.5,30.0,-64.67,104.81
36,400,6709,23.53,117.63,235.27,470.54,56.5,32.0,-64.97,146.77
