ResetCount,TargetLevel,RateProfile,TotalKills,CumJewels_0.1pct,CumJewels_0.5pct,CumJewels_1.0pct,CumJewels_2.0pct
1,50,"DynamicExp_0.7Pickup",5,0.00,0.02,0.03,0.07
2,60,"DynamicExp_0.7Pickup",6,0.01,0.04,0.08,0.15
3,70,"DynamicExp_0.7Pickup",8,0.01,0.06,0.13,0.26
4,80,"DynamicExp_0.7Pickup",9,0.02,0.10,0.20,0.39
5,90,"DynamicExp_0.7Pickup",11,0.03,0.14,0.28,0.55
6,100,"DynamicExp_0.7Pickup",14,0.04,0.19,0.38,0.75
7,110,"DynamicExp_0.7Pickup",20,0.05,0.26,0.52,1.03
8,120,"DynamicExp_0.7Pickup",28,0.07,0.36,0.71,1.43
9,130,"DynamicExp_0.7Pickup",38,0.10,0.49,0.98,1.96
10,140,"DynamicExp_0.7Pickup",51,0.13,0.67,1.34,2.67
11,150,"DynamicExp_0.7Pickup",60,0.18,0.88,1.76,3.51
12,160,"DynamicExp_0.7Pickup",71,0.23,1.13,2.25,4.50
13,170,"DynamicExp_0.7Pickup",83,0.28,1.41,2.83,5.66
14,180,"DynamicExp_0.7Pickup",88,0.34,1.72,3.45,6.89
15,190,"DynamicExp_0.7Pickup",94,0.41,2.05,4.11,8.21
16,200,"DynamicExp_0.7Pickup",101,0.48,2.41,4.82,9.63
17,210,"DynamicExp_0.7Pickup",121,0.57,2.83,5.66,11.32
18,220,"DynamicExp_0.7Pickup",144,0.67,3.34,6.67,13.34
19,230,"DynamicExp_0.7Pickup",171,0.79,3.93,7.87,15.73
20,240,"DynamicExp_0.7Pickup",200,0.93,4.63,9.27,18.53
21,250,"DynamicExp_0.7Pickup",232,1.09,5.44,10.89,21.78
22,260,"DynamicExp_0.7Pickup",268,1.28,6.38,12.77,25.53
23,270,"DynamicExp_0.7Pickup",316,1.50,7.49,14.98,29.95
24,280,"DynamicExp_0.7Pickup",387,1.77,8.84,17.69,35.37
25,290,"DynamicExp_0.7Pickup",450,2.08,10.42,20.84,41.68
26,300,"DynamicExp_0.7Pickup",543,2.46,12.32,24.64,49.28
27,310,"DynamicExp_0.7Pickup",793,3.02,15.10,30.19,60.38
28,320,"DynamicExp_0.7Pickup",1146,3.82,19.11,38.21,76.43
29,330,"DynamicExp_0.7Pickup",1610,4.95,24.74,49.48,98.97
30,340,"DynamicExp_0.7Pickup",2203,6.49,32.45,64.91,129.81
31,350,"DynamicExp_0.7Pickup",2945,8.55,42.76,85.52,171.04
32,360,"DynamicExp_0.7Pickup",4210,11.50,57.50,114.99,229.98
33,370,"DynamicExp_0.7Pickup",5781,15.55,77.73,155.46,310.91
34,380,"DynamicExp_0.7Pickup",7651,20.90,104.51,209.02,418.03
35,390,"DynamicExp_0.7Pickup",9853,27.80,138.99,277.99,555.98
36,400,"DynamicExp_0.7Pickup",12417,36.49,182.45,364.91,729.82
