monsterNumber,monsterName,monsterLevel,mapNumber,gateLevel,everSelected,firstLevel,lastLevel,dominatedBy
4,"Elite Bull Fighter",12,0,1,True,1,14,"None"
20,"Elite Yeti",36,2,15,True,15,39,"None"
36,"Cursed Wizard",56,4,40,True,40,59,"None"
48,"Lizard King",70,7,60,True,60,129,"None"
58,"Tantallos",83,8,130,True,130,149,"None"
351,"Splinter Wolf",85,37,150,True,150,159,"None"
358,"Persona",118,38,220,True,220,239,"None"
575,"Condra",117,81,160,True,160,219,"None"
457,"Coolutin",132,57,240,False,N/A,N/A,"Iron Knight #458 (Raklion - 3693262 vs 3323897 EXP/h @ L240)"
458,"Iron Knight",142,57,240,True,240,400,"None"
