ResetCount,TargetLevel,LevelingHours,CumulativeHours,CycleExp,GrossZen,RoutineCosts,NetZenFromLeveling,ResetCost,ZenBalance,DiscardedZen,ResetPaid,CumulativeJewels,CumulativePoints
1,50,2.19,2.19,1378000,486912,1864081,-1377169,10000000,486912,0,False,1.32,0
2,60,0.00,2.19,0,0,0,0,20000000,486912,0,False,1.32,0
3,70,0.00,2.19,0,0,0,0,30000000,486912,0,False,1.32,0
4,80,0.00,2.19,0,0,0,0,40000000,486912,0,False,1.32,0
5,90,0.00,2.19,0,0,0,0,50000000,486912,0,False,1.32,0
6,100,0.00,2.19,0,0,0,0,60000000,486912,0,False,1.32,0
7,110,0.00,2.19,0,0,0,0,70000000,486912,0,False,1.32,0
8,120,0.00,2.19,0,0,0,0,80000000,486912,0,False,1.32,0
9,130,0.00,2.19,0,0,0,0,90000000,486912,0,False,1.32,0
10,140,0.00,2.19,0,0,0,0,100000000,486912,0,False,1.32,0
11,150,0.00,2.19,0,0,0,0,110000000,486912,0,False,1.32,0
12,160,0.00,2.19,0,0,0,0,120000000,486912,0,False,1.32,0
13,170,0.00,2.19,0,0,0,0,130000000,486912,0,False,1.32,0
14,180,0.00,2.19,0,0,0,0,140000000,486912,0,False,1.32,0
15,190,0.00,2.19,0,0,0,0,150000000,486912,0,False,1.32,0
16,200,0.00,2.19,0,0,0,0,160000000,486912,0,False,1.32,0
17,210,0.00,2.19,0,0,0,0,170000000,486912,0,False,1.32,0
18,220,0.00,2.19,0,0,0,0,180000000,486912,0,False,1.32,0
19,230,0.00,2.19,0,0,0,0,190000000,486912,0,False,1.32,0
20,240,0.00,2.19,0,0,0,0,200000000,486912,0,False,1.32,0
21,250,0.00,2.19,0,0,0,0,210000000,486912,0,False,1.32,0
22,260,0.00,2.19,0,0,0,0,220000000,486912,0,False,1.32,0
23,270,0.00,2.19,0,0,0,0,230000000,486912,0,False,1.32,0
24,280,0.00,2.19,0,0,0,0,240000000,486912,0,False,1.32,0
25,290,0.00,2.19,0,0,0,0,250000000,486912,0,False,1.32,0
26,300,0.00,2.19,0,0,0,0,260000000,486912,0,False,1.32,0
27,310,0.00,2.19,0,0,0,0,270000000,486912,0,False,1.32,0
28,320,0.00,2.19,0,0,0,0,280000000,486912,0,False,1.32,0
29,330,0.00,2.19,0,0,0,0,290000000,486912,0,False,1.32,0
30,340,0.00,2.19,0,0,0,0,300000000,486912,0,False,1.32,0
31,350,0.00,2.19,0,0,0,0,310000000,486912,0,False,1.32,0
32,360,0.00,2.19,0,0,0,0,320000000,486912,0,False,1.32,0
33,370,0.00,2.19,0,0,0,0,330000000,486912,0,False,1.32,0
34,380,0.00,2.19,0,0,0,0,340000000,486912,0,False,1.32,0
35,390,0.00,2.19,0,0,0,0,350000000,486912,0,False,1.32,0
36,400,0.00,2.19,0,0,0,0,360000000,486912,0,False,1.32,0
