RateProfile,ResetIndex,StartLevel,TargetLevel,LevelingHours,GrindWaitHours,CycleHours,CumHours,GrossZen,ResetCost,ZenBalance,GrindWaitZen,IsBlocked,PointsGranted,CumPoints
Dynamic_Baseline,1,10,50,0.01,0.09,0.10,0.10,482301,10000000,0,9524838,False,250,250
Dynamic_Baseline,2,10,60,0.01,0.18,0.19,0.28,823376,20000000,0,19186426,False,300,550
Dynamic_Baseline,3,10,70,0.01,0.15,0.17,0.45,1294651,30000000,0,28717428,False,350,900
Dynamic_Baseline,4,10,80,0.02,0.20,0.22,0.67,1917126,40000000,0,38097785,False,400,1300
Dynamic_Baseline,5,10,90,0.02,0.25,0.28,0.95,2711801,50000000,0,47306726,False,450,1750
Dynamic_Baseline,6,10,100,0.03,0.30,0.33,1.28,3699683,60000000,0,56323339,False,500,2250
Dynamic_Baseline,7,10,110,0.03,0.32,0.35,1.63,4901768,70000000,0,65126332,False,550,2800
Dynamic_Baseline,8,10,120,0.04,0.36,0.40,2.03,6339053,80000000,0,73695072,False,600,3400
Dynamic_Baseline,9,10,130,0.05,0.40,0.45,2.49,8032538,90000000,0,82008685,False,650,4050
Dynamic_Baseline,10,10,140,0.06,0.44,0.50,2.99,10003223,100000000,0,90046261,False,700,4750
Dynamic_Baseline,11,10,150,0.07,0.48,0.55,3.54,12272115,110000000,0,97786879,False,750,5500
Dynamic_Baseline,12,10,160,0.08,0.40,0.48,4.02,14860201,120000000,0,105207311,False,800,6300
Dynamic_Baseline,13,10,170,0.09,0.42,0.51,4.53,17788486,130000000,0,112288390,False,850,7150
Dynamic_Baseline,14,10,180,0.10,0.45,0.55,5.08,21077981,140000000,0,119009413,False,900,8050
Dynamic_Baseline,15,10,190,0.12,0.47,0.59,5.67,24749676,150000000,0,125349459,False,950,9000
Dynamic_Baseline,16,10,200,0.13,0.49,0.63,6.29,28824571,160000000,0,131287594,False,1000,10000
Dynamic_Baseline,17,10,210,0.16,0.91,1.07,7.37,33323684,170000000,0,136812942,False,1050,11050
Dynamic_Baseline,18,10,220,0.19,0.95,1.14,8.51,38268009,180000000,0,141896670,False,1100,12150
Dynamic_Baseline,19,10,230,0.23,0.98,1.21,9.72,43678534,190000000,0,146516844,False,1150,13300
Dynamic_Baseline,20,10,240,0.27,1.01,1.27,10.99,49576269,200000000,0,150652572,False,1200,14500
Dynamic_Baseline,21,10,250,0.31,1.03,1.34,12.33,55982206,210000000,0,154282981,False,1250,15750
Dynamic_Baseline,22,10,260,0.36,1.05,1.41,13.74,62990152,220000000,0,157314797,False,1300,17050
Dynamic_Baseline,23,10,270,0.41,0.87,1.28,15.02,71980495,230000000,0,158367121,False,1350,18400
Dynamic_Baseline,24,10,280,0.48,0.85,1.33,16.35,85112067,240000000,0,155296724,False,1400,19800
Dynamic_Baseline,25,10,290,0.59,0.80,1.39,17.74,104505888,250000000,0,145993251,False,1450,21250
Dynamic_Baseline,26,10,300,0.74,0.70,1.44,19.18,132282975,260000000,0,128345567,False,1500,22750
Dynamic_Baseline,27,10,310,1.14,1.10,2.24,21.42,170564615,270000000,0,100405135,False,1550,24300
Dynamic_Baseline,28,10,320,1.70,0.66,2.36,23.78,221471677,280000000,0,59972381,False,1600,25900
Dynamic_Baseline,29,10,330,2.31,0.04,2.35,26.13,287124907,290000000,0,4837766,False,1650,27550
Dynamic_Baseline,30,10,340,3.06,0.00,3.06,29.19,369645502,300000000,67042456,0,False,1700,29250
Dynamic_Baseline,31,10,350,3.99,0.00,3.99,33.18,471154507,310000000,224806190,0,False,1750,31000
Dynamic_Baseline,32,10,360,5.54,0.00,5.54,38.73,593773483,320000000,493867062,0,False,1800,32800
Dynamic_Baseline,33,10,370,7.30,0.00,7.30,46.03,739622597,330000000,897281846,0,False,1850,34650
Dynamic_Baseline,34,10,380,9.35,0.00,9.35,55.38,910823174,340000000,1460156683,0,False,1900,36550
Dynamic_Baseline,35,10,390,11.73,0.00,11.73,67.11,1109496289,350000000,2209684809,0,False,1950,38500
Dynamic_Baseline,36,10,400,14.46,0.00,14.46,81.57,1337762969,360000000,3175158924,0,False,2000,40500
