ResetCount,TargetLevel,LevelingHours,WaitHours,TotalHours,CumulativeHours,GrossZen,RoutineCosts,ExtraZenFarmed,ResetCost,ZenBalance,DiscardedZen,IsBlocked,CumulativeJewels
1,50,0.00,0.05,0.05,0.05,482300,3191,9520891,10000000,0,0,False,0.03
2,60,0.01,0.06,0.07,0.12,823375,4561,19181186,20000000,0,0,False,0.06
3,70,0.01,0.09,0.10,0.22,1294650,5876,28711226,30000000,0,0,False,0.12
4,80,0.01,0.13,0.13,0.35,1917125,7612,38090487,40000000,0,0,False,0.19
5,90,0.01,0.17,0.19,0.54,2711800,9952,47298152,50000000,0,0,False,0.29
6,100,0.02,0.23,0.24,0.78,3699675,13186,56313511,60000000,0,0,False,0.41
7,110,0.02,0.47,0.49,1.27,4901759,19880,65118121,70000000,0,0,False,0.67
8,120,0.03,0.57,0.61,1.88,6339048,28895,73689847,80000000,0,0,False,0.99
9,130,0.05,0.42,0.47,2.35,8032543,40380,82007837,90000000,0,0,False,1.22
10,140,0.06,0.50,0.55,2.90,10003228,49279,90046051,100000000,0,0,False,1.50
11,150,0.07,0.57,0.64,3.55,12272123,60155,97788032,110000000,0,0,False,1.79
12,160,0.09,0.32,0.41,3.96,14860218,73258,105213040,120000000,0,0,False,1.95
13,170,0.10,0.36,0.46,4.41,17788503,81074,112292571,130000000,0,0,False,2.12
14,180,0.11,0.40,0.51,4.92,21077988,90238,119012250,140000000,0,0,False,2.31
15,190,0.12,0.44,0.56,5.48,24749673,100884,125351211,150000000,0,0,False,2.52
16,200,0.13,0.48,0.61,6.09,28824558,113146,131288588,160000000,0,0,False,2.75
17,210,0.17,1.29,1.46,7.54,33323676,146211,136822535,170000000,0,0,False,3.27
18,220,0.22,1.16,1.38,8.92,38268002,186003,141918001,180000000,0,0,False,3.83
19,230,0.26,1.23,1.49,10.42,43678536,223768,146545232,190000000,0,0,False,4.44
20,240,0.31,1.17,1.49,11.90,49576277,266140,150689863,200000000,0,0,False,4.88
21,250,0.36,1.23,1.60,13.50,55982192,308774,154326582,210000000,0,0,False,5.35
22,260,0.42,1.29,1.71,15.21,62990116,356621,157366505,220000000,0,0,False,5.85
23,270,0.49,1.33,1.82,17.03,71980455,419528,158439073,230000000,0,0,False,6.38
24,280,0.60,1.33,1.94,18.97,85112028,513545,155401517,240000000,0,0,False,6.94
25,290,0.77,1.28,2.05,21.02,104505853,655444,146149591,250000000,0,0,False,7.53
26,300,1.02,1.15,2.17,23.19,132282950,862917,128579967,260000000,0,0,False,8.15
27,310,1.67,1.85,3.53,26.71,170564630,1421079,100856449,270000000,0,0,False,9.14
28,320,2.60,1.14,3.74,30.45,221471766,2211362,60739596,280000000,0,0,False,10.18
29,330,3.82,0.12,3.94,34.39,287125373,3249051,6123678,290000000,0,0,False,11.27
30,340,5.38,0.00,5.38,39.78,369646496,4575974,0,300000000,65070522,0,False,12.75
31,350,7.34,0.00,7.34,47.11,471156183,6235368,0,310000000,219991337,0,False,14.74
32,360,10.66,0.00,10.66,57.78,593776352,9064875,0,320000000,484702814,0,False,17.63
33,370,14.80,0.00,14.80,72.57,739627472,12578181,0,330000000,881752105,0,False,21.61
34,380,19.72,0.00,19.72,92.29,910830525,16762808,0,340000000,1435819822,0,False,26.90
35,390,25.51,0.00,25.51,117.81,1109506589,21687601,0,350000000,1064132221,1109506589,False,33.73
36,400,32.26,0.00,32.26,150.07,1337776740,27422964,0,360000000,676709257,2447283329,False,42.36
