RateProfile,ResetIndex,TargetLevel,CycleHours,CumHours,CycleExp,GrossZen,ResetCost15Pct,NetZen,ZenBalance,CumPoints,CostToEarnRatioPercent
Capped_200_15Pct,1,50,0.01,0.01,1378000,482301,206700,268462,268462,250,44.34
Capped_200_15Pct,2,60,0.01,0.02,2352500,823376,352875,460699,729161,550,44.05
Capped_200_15Pct,3,70,0.01,0.03,3699000,1294651,554850,727722,1456883,900,43.79
Capped_200_15Pct,4,80,0.02,0.05,5477500,1917126,821625,1080590,2537473,1300,43.63
Capped_200_15Pct,5,90,0.02,0.07,7748000,2711801,1162200,1531074,4068547,1750,43.54
Capped_200_15Pct,6,100,0.03,0.10,10570500,3699683,1585575,2091086,6159633,2250,43.48
Capped_200_15Pct,7,110,0.03,0.13,14005000,4901768,2100750,2772918,8932551,2800,43.43
Capped_200_15Pct,8,120,0.04,0.17,18111500,6339053,2716725,3588203,12520754,3400,43.40
Capped_200_15Pct,9,130,0.05,0.22,22950000,8032538,3442500,4548815,17069569,4050,43.37
Capped_200_15Pct,10,140,0.06,0.28,28580500,10003223,4287075,5666664,22736233,4750,43.35
Capped_200_15Pct,11,150,0.07,0.35,35063000,12272115,5259450,6953671,29689904,5500,43.34
Capped_200_15Pct,12,160,0.08,0.43,42457500,14860201,6368625,8424064,38113968,6300,43.31
Capped_200_15Pct,13,170,0.09,0.52,50824000,17788486,7623600,10088010,48201978,7150,43.29
Capped_200_15Pct,14,180,0.10,0.62,60222500,21077981,9033375,11957212,60159190,8050,43.27
Capped_200_15Pct,15,190,0.12,0.74,70713000,24749676,10606950,14043591,74202781,9000,43.26
Capped_200_15Pct,16,200,0.13,0.87,82355500,28824571,12353325,16359081,90561862,10000,43.25
Capped_200_15Pct,17,200,0.13,1.00,82355500,28824571,12353325,16359081,106920943,11000,43.25
Capped_200_15Pct,18,200,0.13,1.14,82355500,28824571,12353325,16359081,123280024,12000,43.25
Capped_200_15Pct,19,200,0.13,1.27,82355500,28824571,12353325,16359081,139639105,13000,43.25
Capped_200_15Pct,20,200,0.13,1.40,82355500,28824571,12353325,16359081,155998186,14000,43.25
Capped_200_15Pct,21,200,0.13,1.53,82355500,28824571,12353325,16359081,172357267,15000,43.25
Capped_200_15Pct,22,200,0.13,1.66,82355500,28824571,12353325,16359081,188716348,16000,43.25
Capped_200_15Pct,23,200,0.13,1.79,82355500,28824571,12353325,16359081,205075429,17000,43.25
Capped_200_15Pct,24,200,0.13,1.93,82355500,28824571,12353325,16359081,221434510,18000,43.25
Capped_200_15Pct,25,200,0.13,2.06,82355500,28824571,12353325,16359081,237793591,19000,43.25
Capped_200_15Pct,26,200,0.13,2.19,82355500,28824571,12353325,16359081,254152672,20000,43.25
Capped_200_15Pct,27,200,0.13,2.32,82355500,28824571,12353325,16359081,270511753,21000,43.25
Capped_200_15Pct,28,200,0.13,2.45,82355500,28824571,12353325,16359081,286870834,22000,43.25
Capped_200_15Pct,29,200,0.13,2.59,82355500,28824571,12353325,16359081,303229915,23000,43.25
Capped_200_15Pct,30,200,0.13,2.72,82355500,28824571,12353325,16359081,319588996,24000,43.25
Capped_200_15Pct,31,200,0.13,2.85,82355500,28824571,12353325,16359081,335948077,25000,43.25
Capped_200_15Pct,32,200,0.13,2.98,82355500,28824571,12353325,16359081,352307158,26000,43.25
Capped_200_15Pct,33,200,0.13,3.11,82355500,28824571,12353325,16359081,368666239,27000,43.25
Capped_200_15Pct,34,200,0.13,3.25,82355500,28824571,12353325,16359081,385025320,28000,43.25
Capped_200_15Pct,35,200,0.13,3.38,82355500,28824571,12353325,16359081,401384401,29000,43.25
Capped_200_15Pct,36,200,0.13,3.51,82355500,28824571,12353325,16359081,417743482,30000,43.25
