ResetCount,TargetLevel,C2_LevelingHours,C2_CumHours,C2_ResetCost,C2_NetZen,C2_ZenBalance,C2_DiscardedZen,C2_ResetPaid,D2_LevelingHours,D2_CumHours,D2_ResetCost,D2_NetZen,D2_ZenBalance,D2_DiscardedZen,D2_ResetPaid
1,50,2.19,2.19,206700,-1583869,280212,0,True,0.01,0.01,206700,270940,270940,0,True
2,60,2.84,5.03,352875,-1935546,756581,0,True,0.01,0.01,352875,464471,735411,0,True
3,70,3.74,8.77,554850,-2429129,1504008,0,True,0.01,0.02,554850,731859,1467270,0,True
4,80,4.55,13.32,821625,-2766481,2608630,0,True,0.01,0.03,821625,1085823,2553093,0,True
5,90,5.66,18.98,1162200,-3246495,524335,0,False,0.01,0.05,1162200,1537582,4090675,0,True
6,100,0.00,18.98,0,0,524335,0,False,0.02,0.07,1585575,2098848,6189523,0,True
7,110,0.00,18.98,0,0,524335,0,False,0.03,0.09,2100750,2779064,8968587,0,True
8,120,0.00,18.98,0,0,524335,0,False,0.04,0.13,2716725,3591362,12559949,0,True
9,130,0.00,18.98,0,0,524335,0,False,0.05,0.18,3442500,4547598,17107547,0,True
10,140,0.00,18.98,0,0,524335,0,False,0.07,0.24,4287075,5659368,22766915,0,True
11,150,0.00,18.98,0,0,524335,0,False,0.08,0.32,5259450,6945012,29711927,0,True
12,160,0.00,18.98,0,0,524335,0,False,0.10,0.42,6368625,8410822,38122749,0,True
13,170,0.00,18.98,0,0,524335,0,False,0.11,0.53,7623600,10068551,48191300,0,True
14,180,0.00,18.98,0,0,524335,0,False,0.12,0.66,9033375,11939097,60130397,0,True
15,190,0.00,18.98,0,0,524335,0,False,0.14,0.79,10606950,14026561,74156958,0,True
16,200,0.00,18.98,0,0,524335,0,False,0.15,0.94,12353325,16342809,90499767,0,True
17,210,0.00,18.98,0,0,524335,0,False,0.19,1.13,14281500,18880687,109380454,0,True
18,220,0.00,18.98,0,0,524335,0,False,0.24,1.37,16400475,21666246,131046700,0,True
19,230,0.00,18.98,0,0,524335,0,False,0.29,1.66,18719250,24713106,155759806,0,True
20,240,0.00,18.98,0,0,524335,0,False,0.34,2.00,21246825,28040900,183800706,0,True
21,250,0.00,18.98,0,0,524335,0,False,0.40,2.40,23992200,31654177,215454883,0,True
22,260,0.00,18.98,0,0,524335,0,False,0.46,2.85,26995575,35605661,251060544,0,True
23,270,0.00,18.98,0,0,524335,0,False,0.54,3.39,30848550,40673234,291733778,0,True
24,280,0.00,18.98,0,0,524335,0,False,0.66,4.06,36476325,48072690,339806468,0,True
25,290,0.00,18.98,0,0,524335,0,False,0.83,4.89,44787900,59013041,398819509,0,True
26,300,0.00,18.98,0,0,524335,0,False,1.07,5.96,56692275,74678291,473497800,0,True
27,310,0.00,18.98,0,0,524335,0,False,1.73,7.69,73098450,95995634,569493434,0,True
28,320,0.00,18.98,0,0,524335,0,False,2.66,10.35,94915425,124295511,693788945,0,True
29,330,0.00,18.98,0,0,524335,0,False,3.88,14.23,123052200,160774654,854563599,0,True
30,340,0.00,18.98,0,0,524335,0,False,5.44,19.67,158417775,206603279,1061166878,0,True
31,350,0.00,18.98,0,0,524335,0,False,7.39,27.07,201921150,262950197,1324117075,0,True
32,360,0.00,18.98,0,0,524335,0,False,10.72,37.79,254471325,330190684,1654307759,0,True
33,370,0.00,18.98,0,0,524335,0,False,14.86,52.65,316977300,410022523,1324702593,739627689,True
34,380,0.00,18.98,0,0,524335,0,False,19.78,72.42,390348075,503670174,917542025,1650458431,True
35,390,0.00,18.98,0,0,524335,0,False,25.57,98.00,475492650,612276870,1529818895,1650458431,True
36,400,0.00,18.98,0,0,524335,0,False,32.32,130.32,573320025,736984283,929026221,2988235388,True
