RateProfile,ResetIndex,TargetLevel,CycleHours,CumHours,CycleExp,GrossZen,ResetCost15Pct,NetZen,ZenBalance,CumPoints,CostToEarnRatioPercent
Capped_300_15Pct,1,50,0.01,0.01,1378000,482301,206700,268462,268462,250,44.34
Capped_300_15Pct,2,60,0.01,0.02,2352500,823376,352875,460699,729161,550,44.05
Capped_300_15Pct,3,70,0.01,0.03,3699000,1294651,554850,727722,1456883,900,43.79
Capped_300_15Pct,4,80,0.02,0.05,5477500,1917126,821625,1080590,2537473,1300,43.63
Capped_300_15Pct,5,90,0.02,0.07,7748000,2711801,1162200,1531074,4068547,1750,43.54
Capped_300_15Pct,6,100,0.03,0.10,10570500,3699683,1585575,2091086,6159633,2250,43.48
Capped_300_15Pct,7,110,0.03,0.13,14005000,4901768,2100750,2772918,8932551,2800,43.43
Capped_300_15Pct,8,120,0.04,0.17,18111500,6339053,2716725,3588203,12520754,3400,43.40
Capped_300_15Pct,9,130,0.05,0.22,22950000,8032538,3442500,4548815,17069569,4050,43.37
Capped_300_15Pct,10,140,0.06,0.28,28580500,10003223,4287075,5666664,22736233,4750,43.35
Capped_300_15Pct,11,150,0.07,0.35,35063000,12272115,5259450,6953671,29689904,5500,43.34
Capped_300_15Pct,12,160,0.08,0.43,42457500,14860201,6368625,8424064,38113968,6300,43.31
Capped_300_15Pct,13,170,0.09,0.52,50824000,17788486,7623600,10088010,48201978,7150,43.29
Capped_300_15Pct,14,180,0.10,0.62,60222500,21077981,9033375,11957212,60159190,8050,43.27
Capped_300_15Pct,15,190,0.12,0.74,70713000,24749676,10606950,14043591,74202781,9000,43.26
Capped_300_15Pct,16,200,0.13,0.87,82355500,28824571,12353325,16359081,90561862,10000,43.25
Capped_300_15Pct,17,210,0.16,1.03,95210000,33323684,14281500,18905558,109467420,11050,43.27
Capped_300_15Pct,18,220,0.19,1.23,109336500,38268009,16400475,21702855,131170275,12150,43.29
Capped_300_15Pct,19,230,0.23,1.46,124795000,43678534,18719250,24763906,155934181,13300,43.30
Capped_300_15Pct,20,240,0.27,1.72,141645500,49576269,21246825,28100603,184034784,14500,43.32
Capped_300_15Pct,21,250,0.31,2.04,159948000,55982206,23992200,31724819,215759603,15750,43.33
Capped_300_15Pct,22,260,0.36,2.40,179970500,62990152,26995575,35689628,251449231,17050,43.34
Capped_300_15Pct,23,270,0.41,2.80,205657000,71980495,30848550,40784329,292233560,18400,43.34
Capped_300_15Pct,24,280,0.48,3.29,243175500,85112067,36476325,48226951,340460511,19800,43.34
Capped_300_15Pct,25,290,0.59,3.87,298586000,104505888,44787900,59218849,399679360,21250,43.33
Capped_300_15Pct,26,300,0.74,4.61,377948500,132282975,56692275,74962158,474641518,22750,43.33
Capped_300_15Pct,27,300,0.74,5.35,377948500,132282975,56692275,74962158,549603676,24250,43.33
Capped_300_15Pct,28,300,0.74,6.09,377948500,132282975,56692275,74962158,624565834,25750,43.33
Capped_300_15Pct,29,300,0.74,6.83,377948500,132282975,56692275,74962158,699527992,27250,43.33
Capped_300_15Pct,30,300,0.74,7.57,377948500,132282975,56692275,74962158,774490150,28750,43.33
Capped_300_15Pct,31,300,0.74,8.31,377948500,132282975,56692275,74962158,849452308,30250,43.33
Capped_300_15Pct,32,300,0.74,9.05,377948500,132282975,56692275,74962158,924414466,31750,43.33
Capped_300_15Pct,33,300,0.74,9.79,377948500,132282975,56692275,74962158,999376624,33250,43.33
Capped_300_15Pct,34,300,0.74,10.53,377948500,132282975,56692275,74962158,1074338782,34750,43.33
Capped_300_15Pct,35,300,0.74,11.27,377948500,132282975,56692275,74962158,1149300940,36250,43.33
Capped_300_15Pct,36,300,0.74,12.01,377948500,132282975,56692275,74962158,1224263098,37750,43.33
