ResetCount,TargetLevel,CostRatio_1x,CostRatio_10x,CostRatio_50x,CostRatio_Dynamic
1,50,425.29,81.43,50.58,43.82
2,60,333.41,72.10,48.71,43.59
3,70,286.53,67.35,47.76,43.47
4,80,243.62,63.02,46.89,43.36
5,90,219.23,60.56,46.40,43.30
6,100,206.98,59.33,46.15,43.27
7,110,201.89,58.81,46.05,43.30
8,120,201.24,58.75,46.04,43.35
9,130,203.43,58.97,46.08,43.39
10,140,207.50,59.38,46.16,43.42
11,150,199.15,58.54,45.99,43.41
12,160,193.92,58.01,45.89,43.40
13,170,190.90,57.70,45.83,43.40
14,180,178.67,56.47,45.58,43.36
15,190,169.27,55.53,45.39,43.33
16,200,162.02,54.80,45.25,43.30
17,210,156.44,54.24,45.13,43.34
18,220,152.15,53.81,45.05,43.38
19,230,148.87,53.48,44.98,43.42
20,240,144.79,53.07,44.90,43.44
21,250,141.56,52.74,44.83,43.46
22,260,139.00,52.49,44.78,43.47
23,270,136.67,52.25,44.74,43.49
24,280,134.44,52.03,44.69,43.52
25,290,131.01,51.68,44.62,43.53
26,300,128.16,51.40,44.57,43.55
27,310,126.09,51.19,44.52,43.72
28,320,124.78,51.06,44.50,43.88
29,330,124.09,50.99,44.48,44.01
30,340,123.88,50.97,44.48,44.11
31,350,124.01,50.98,44.48,44.19
32,360,124.38,51.02,44.49,44.39
33,370,124.91,51.07,44.50,44.56
34,380,125.54,51.13,44.51,44.70
35,390,126.25,51.20,44.53,44.82
36,400,127.00,51.28,44.54,44.91
