Day,Casual_Resets,Casual_Points,Casual_ZenBalance,Casual_GrossZen,Casual_DiscardedZen,Casual_Jewels,Hardcore_Resets,Hardcore_Points,Hardcore_ZenBalance,Hardcore_GrossZen,Hardcore_DiscardedZen,Hardcore_Jewels,Nolife_Resets,Nolife_Points,Nolife_ZenBalance,Nolife_GrossZen,Nolife_DiscardedZen,Nolife_Jewels
1,19,13300,155759806,275049042,0,0.8,27,24300,569493434,1008044752,0,3.0,29,27550,854563599,1516642325,0,4.9
2,23,18400,291733778,515578423,0,1.5,29,27550,854563599,1516642325,0,4.9,31,31000,1324117075,2357445438,0,8.6
3,26,22750,473497800,837479905,0,2.5,30,29250,1061166878,1886289038,0,6.5,32,32800,1654307759,2951222007,0,11.5
4,27,24300,569493434,1008044752,0,3.0,31,31000,1324117075,2357445438,0,8.6,33,34650,1324702593,3690849696,739627689,15.5
5,27,24300,569493434,1008044752,0,3.0,32,32800,1654307759,2951222007,0,11.5,34,36550,917542025,4601680438,1650458431,20.9
6,28,25900,693788945,1229516735,0,3.8,32,32800,1654307759,2951222007,0,11.5,34,36550,917542025,4601680438,1650458431,20.9
7,28,25900,693788945,1229516735,0,3.8,33,34650,1324702593,3690849696,739627689,15.5,35,38500,1529818895,5711187244,1650458431,27.8
8,29,27550,854563599,1516642325,0,4.9,33,34650,1324702593,3690849696,739627689,15.5,35,38500,1529818895,5711187244,1650458431,27.8
9,29,27550,854563599,1516642325,0,4.9,33,34650,1324702593,3690849696,739627689,15.5,36,40500,1376959037,7508525859,2988235388,40.1
10,30,29250,1061166878,1886289038,0,6.5,34,36550,917542025,4601680438,1650458431,20.9,36,40500,1900819127,8045985949,2988235388,44.4
11,30,29250,1061166878,1886289038,0,6.5,34,36550,917542025,4601680438,1650458431,20.9,36,40500,890197379,8583446039,4522717226,48.6
12,30,29250,1061166878,1886289038,0,6.5,34,36550,917542025,4601680438,1650458431,20.9,36,40500,876597379,9120906128,5060177315,52.9
13,30,29250,1061166878,1886289038,0,6.5,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,862997379,9658366218,5597637405,57.2
14,31,31000,1324117075,2357445438,0,8.6,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,849397379,10195826308,6135097495,61.4
15,31,31000,1324117075,2357445438,0,8.6,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,835797379,10733286398,6672557585,65.7
16,31,31000,1324117075,2357445438,0,8.6,35,38500,1529818895,5711187244,1650458431,27.8,36,40500,822197379,11270746488,7210017675,69.9
17,31,31000,1324117075,2357445438,0,8.6,36,40500,1115028992,7239795814,2988235388,38.0,36,40500,808597379,11808206577,7747477764,74.2
18,31,31000,1324117075,2357445438,0,8.6,36,40500,1376959037,7508525859,2988235388,40.1,36,40500,794997379,12345666667,8284937854,78.4
19,32,32800,1654307759,2951222007,0,11.5,36,40500,1638889082,7777255904,2988235388,42.3,36,40500,781397379,12883126757,8822397944,82.7
20,32,32800,1654307759,2951222007,0,11.5,36,40500,1900819127,8045985949,2988235388,44.4,36,40500,767797379,13420586847,9359858034,86.9
21,32,32800,1654307759,2951222007,0,11.5,36,40500,896997379,8314715994,4253987181,46.5,36,40500,754197379,13958046937,9897318124,91.2
22,32,32800,1654307759,2951222007,0,11.5,36,40500,890197379,8583446039,4522717226,48.6,36,40500,740597379,14495507027,10434778214,95.5
23,32,32800,1654307759,2951222007,0,11.5,36,40500,883397379,8852176083,4791447270,50.8,36,40500,726997379,15032967116,10972238303,99.7
24,32,32800,1654307759,2951222007,0,11.5,36,40500,876597379,9120906128,5060177315,52.9,36,40500,713397379,15570427206,11509698393,104.0
25,32,32800,1654307759,2951222007,0,11.5,36,40500,869797379,9389636173,5328907360,55.0,36,40500,699797379,16107887296,12047158483,108.2
26,32,32800,1654307759,2951222007,0,11.5,36,40500,862997379,9658366218,5597637405,57.2,36,40500,686197379,16645347386,12584618573,112.5
27,33,34650,1324702593,3690849696,739627689,15.5,36,40500,856197379,9927096263,5866367450,59.3,36,40500,672597379,17182807476,13122078663,116.7
28,33,34650,1324702593,3690849696,739627689,15.5,36,40500,849397379,10195826308,6135097495,61.4,36,40500,658997379,17720267566,13659538753,121.0
29,33,34650,1324702593,3690849696,739627689,15.5,36,40500,842597379,10464556353,6403827540,63.5,36,40500,645397379,18257727655,14196998842,125.2
30,33,34650,1324702593,3690849696,739627689,15.5,36,40500,835797379,10733286398,6672557585,65.7,36,40500,631797379,18795187745,14734458932,129.5
31,33,34650,1324702593,3690849696,739627689,15.5,36,40500,828997379,11002016443,6941287630,67.8,36,40500,618197379,19332647835,15271919022,133.8
32,33,34650,1324702593,3690849696,739627689,15.5,36,40500,822197379,11270746488,7210017675,69.9,36,40500,604597379,19870107925,15809379112,138.0
33,33,34650,1324702593,3690849696,739627689,15.5,36,40500,815397379,11539476533,7478747720,72.0,36,40500,590997379,20407568015,16346839202,142.3
34,33,34650,1324702593,3690849696,739627689,15.5,36,40500,808597379,11808206577,7747477764,74.2,36,40500,577397379,20945028105,16884299292,146.5
35,33,34650,1324702593,3690849696,739627689,15.5,36,40500,801797379,12076936622,8016207809,76.3,36,40500,563797379,21482488194,17421759381,150.8
36,33,34650,1324702593,3690849696,739627689,15.5,36,40500,794997379,12345666667,8284937854,78.4,36,40500,550197379,22019948284,17959219471,155.0
37,34,36550,917542025,4601680438,1650458431,20.9,36,40500,788197379,12614396712,8553667899,80.6,36,40500,536597379,22557408374,18496679561,159.3
38,34,36550,917542025,4601680438,1650458431,20.9,36,40500,781397379,12883126757,8822397944,82.7,36,40500,522997379,23094868464,19034139651,163.6
39,34,36550,917542025,4601680438,1650458431,20.9,36,40500,774597379,13151856802,9091127989,84.8,36,40500,509397379,23632328554,19571599741,167.8
40,34,36550,917542025,4601680438,1650458431,20.9,36,40500,767797379,13420586847,9359858034,86.9,36,40500,495797379,24169788643,20109059830,172.1
41,34,36550,917542025,4601680438,1650458431,20.9,36,40500,760997379,13689316892,9628588079,89.1,36,40500,482197379,24707248733,20646519920,176.3
42,34,36550,917542025,4601680438,1650458431,20.9,36,40500,754197379,13958046937,9897318124,91.2,36,40500,468597379,25244708823,21183980010,180.6
43,34,36550,917542025,4601680438,1650458431,20.9,36,40500,747397379,14226776982,10166048169,93.3,36,40500,454997379,25782168913,21721440100,184.8
44,34,36550,917542025,4601680438,1650458431,20.9,36,40500,740597379,14495507027,10434778214,95.5,36,40500,441397379,26319629003,22258900190,189.1
45,34,36550,917542025,4601680438,1650458431,20.9,36,40500,733797379,14764237072,10703508259,97.6,36,40500,427797379,26857089093,22796360280,193.3
46,34,36550,917542025,4601680438,1650458431,20.9,36,40500,726997379,15032967116,10972238303,99.7,36,40500,414197379,27394549182,23333820369,197.6
47,34,36550,917542025,4601680438,1650458431,20.9,36,40500,720197379,15301697161,11240968348,101.8,36,40500,400597379,27932009272,23871280459,201.9
